team,normalized_score,raw_score,games_processed,wins,losses
Hendrix College,0.25,2.0,8,5,3
UAB,0.25,2.0,8,3,5
Winona State,0.2222222222222222,2.0,9,4,5
Auburn,0.2222222222222222,2.0,9,4,5
West Virginia,0.2222222222222222,2.0,9,3,6
Southern Illinois,0.2222222222222222,2.0,9,6,3
Georgetown,0.2222222222222222,2.0,9,5,4
Bethune-Cookman,0.2222222222222222,2.0,9,5,4
West Virginia State,0.2222222222222222,2.0,9,5,4
Princeton,0.14285714285714285,1.0,7,3,4
Franklin Pierce,0.125,1.0,8,4,4
Grand Valley State University,0.125,1.0,8,5,3
Liberty,0.125,1.0,8,4,4
Huntingdon College (AL),0.125,1.0,8,4,4
Marshall,0.125,1.0,8,4,4
Southern Virginia,0.125,1.0,8,6,2
Delaware,0.125,1.0,8,4,4
Stevenson,0.125,1.0,8,5,3
Northeastern State,0.125,1.0,8,5,3
Lake Forest College,0.125,1.0,8,5,3
Ohio Dominican,0.125,1.0,8,4,4
Ursinus,0.125,1.0,8,5,3
Montclair State,0.125,1.0,8,3,5
Hobart College,0.125,1.0,8,3,5
Maryland,0.125,1.0,8,4,4
South Carolina,0.1111111111111111,1.0,9,3,6
Southern Utah,0.1111111111111111,1.0,9,4,5
Cal Poly,0.1111111111111111,1.0,9,3,6
Austin Peay,0.1111111111111111,1.0,9,5,4
Virginia St,0.1111111111111111,1.0,9,6,3
Sacramento State,0.1111111111111111,1.0,9,5,4
Northern Arizona,0.1111111111111111,1.0,9,5,4
Miami (OH),0.1111111111111111,1.0,9,5,4
Hawai'i,0.1111111111111111,1.0,9,6,3
Wayne State (NE),0.1111111111111111,1.0,9,5,4
Mars Hill,0.0,0.0,9,4,5
Lewis & Clark College,0.0,0.0,8,5,3
University of Rio Grande,0.0,0.0,1,0,0
Southwestern Assemblies Of God,0.0,0.0,1,0,0
Tufts,0.0,0.0,8,4,4
Marietta,0.0,0.0,8,4,4
Middlebury,0.0,0.0,8,4,4
Geneva,0.0,0.0,8,5,3
Davenport,0.0,0.0,8,5,3
Cumberland (TN),0.0,0.0,1,0,0
St. Thomas (MN),0.0,0.0,9,6,3
UCLA,0.0,0.0,8,3,5
Mass Maritime,0.0,0.0,8,4,4
Case Western Reserve,0.0,0.0,7,4,3
Lindenwood,-0.1111111111111111,-1.0,9,4,5
Central Missouri,-0.1111111111111111,-1.0,9,4,5
Chattanooga,-0.1111111111111111,-1.0,9,4,5
Georgia Southern,-0.125,-1.0,8,3,5
University of Rochester (NY),-0.125,-1.0,8,5,3
Amherst,-0.125,-1.0,8,4,4
Gustavus Adolphus,-0.125,-1.0,8,3,5
Crown College,-0.125,-1.0,8,5,3
Penn State,-0.125,-1.0,8,3,5
Greenville,-0.14285714285714285,-1.0,7,4,3
Missouri S&T,-0.2,-2.0,10,4,5
The Citadel,-0.2222222222222222,-2.0,9,4,5
Wooster,-0.2222222222222222,-2.0,9,5,4
Lafayette,-0.2222222222222222,-2.0,9,6,3
Arkansas State,-0.2222222222222222,-2.0,9,5,4
Lycoming,-0.2222222222222222,-2.0,9,4,5
Fairmont State,-0.2222222222222222,-2.0,9,5,4
UCF,-0.25,-2.0,8,4,4
Pacific Lutheran,-0.25,-2.0,8,4,4
Jacksonville State,-0.25,-2.0,8,5,3
Florida International,-0.25,-2.0,8,3,5
Alfred University,-0.25,-2.0,8,3,5
Bridgewater State,-0.25,-2.0,8,4,4
Anderson (Sc),-0.3,-3.0,10,5,5
Emporia State University,-0.3333333333333333,-3.0,9,4,5
Stanford,-0.3333333333333333,-3.0,9,3,6
West Chester,-0.3333333333333333,-3.0,9,4,5
Central Michigan,-0.3333333333333333,-3.0,9,5,4
Eastern Kentucky,-0.3333333333333333,-3.0,9,4,5
Savannah St,-0.3333333333333333,-3.0,9,4,5
Virginia Tech,-0.3333333333333333,-3.0,9,3,6
Hillsdale,-0.3333333333333333,-3.0,9,4,5
Toledo,-0.375,-3.0,8,4,4
Kentucky,-0.375,-3.0,8,3,5
App State,-0.375,-3.0,8,4,4
Northwestern (MN),-0.375,-3.0,8,3,5
East Texas Baptist University,-0.375,-3.0,8,4,4
Florida Atlantic,-0.375,-3.0,8,3,5
Charleston Southern,-0.4,-4.0,10,4,6
Michigan State,-0.4444444444444444,-4.0,9,3,6
Duquesne,-0.4444444444444444,-4.0,9,5,4
Wittenberg,-0.4444444444444444,-4.0,9,3,6
Syracuse,-0.4444444444444444,-4.0,9,3,6
Stony Brook,-0.4444444444444444,-4.0,9,4,5
Maine,-0.4444444444444444,-4.0,9,5,4
Bentley,-0.5,-4.0,8,5,3
Wisconsin,-0.5,-4.0,8,2,6
Claremont-Mudd-Scripps College,-0.5,-4.0,8,3,5
UMass Dartmouth,-0.5,-4.0,8,4,4
Richmond,-0.5555555555555556,-5.0,9,5,4
Elon,-0.5555555555555556,-5.0,9,4,5
Saginaw Valley State,-0.5555555555555556,-5.0,9,5,4
Bowling Green,-0.5555555555555556,-5.0,9,3,6
Southwestern University,-0.625,-5.0,8,3,5
McMurry,-0.625,-5.0,8,4,4
Ripon,-0.625,-5.0,8,4,4
Carroll University (WI),-0.625,-5.0,8,3,5
Franklin,-0.625,-5.0,8,4,4
Florida A&M,-0.625,-5.0,8,3,5
Wisconsin-Eau Claire,-0.625,-5.0,8,3,5
Albright,-0.625,-5.0,8,4,4
North Carolina Wesleyan,-0.625,-5.0,8,4,4
Wilmington (OH),-0.625,-5.0,8,3,5
San José State,-0.625,-5.0,8,3,5
Texas Southern,-0.625,-5.0,8,4,4
Quincy,-0.6666666666666666,-6.0,9,5,4
St. Anselm,-0.6666666666666666,-6.0,9,5,4
Stetson,-0.6666666666666666,-6.0,9,3,6
Wyoming,-0.6666666666666666,-6.0,9,4,5
Dubuque,-0.6666666666666666,-6.0,9,3,6
Weber State,-0.6666666666666666,-6.0,9,3,6
Cornell,-0.7142857142857143,-5.0,7,3,4
Muskingum University,-0.75,-6.0,8,3,5
St. Olaf,-0.75,-6.0,8,3,5
Texas State,-0.75,-6.0,8,3,5
Clemson,-0.75,-6.0,8,3,5
McKendree,-0.7777777777777778,-7.0,9,4,4
University of Mary,-0.7777777777777778,-7.0,9,4,5
Idaho State,-0.7777777777777778,-7.0,9,3,6
Idaho,-0.7777777777777778,-7.0,9,4,5
Southeastern Oklahoma State,-0.7777777777777778,-7.0,9,4,5
Buffalo,-0.7777777777777778,-7.0,9,5,4
Arkansas,-0.7777777777777778,-7.0,9,2,7
Merrimack,-0.7777777777777778,-7.0,9,3,6
Winston-Salem,-0.7777777777777778,-7.0,9,4,5
Morehead State,-0.8,-8.0,10,5,5
North Carolina,-0.875,-7.0,8,3,5
Sewanee,-0.875,-7.0,8,3,5
NEWBERG,-0.875,-7.0,8,3,5
Kalamazoo,-0.875,-7.0,8,4,4
Bluffton,-0.875,-7.0,8,5,3
Bucknell,-0.8888888888888888,-8.0,9,4,5
Oregon State,-0.8888888888888888,-8.0,9,2,7
UL Monroe,-0.8888888888888888,-8.0,9,3,6
East Tennessee State,-0.8888888888888888,-8.0,9,4,5
Allen,-0.8888888888888888,-8.0,9,4,5
Bemidji State,-0.8888888888888888,-8.0,9,3,6
Seton Hill,-0.9,-9.0,10,4,6
Pikeville,-1.0,-1.0,1,0,0
Marian College,-1.0,-1.0,1,0,0
Carthage,-1.0,-8.0,8,3,5
Worcester Polytechnic Institute,-1.0,-8.0,8,2,6
Mayville State,-1.0,-2.0,2,0,0
Point University,-1.0,-2.0,2,0,0
Keystone,-1.0,-2.0,2,1,1
Alfred State,-1.0,-8.0,8,4,4
BLUEFIELD,-1.0,-1.0,1,0,0
Stonehill,-1.0,-9.0,9,3,6
Macalester,-1.0,-8.0,8,3,5
Marist,-1.0,-9.0,9,3,6
Colgate,-1.0,-9.0,9,4,5
Akron,-1.1,-11.0,10,4,6
Incarnate Word,-1.1111111111111112,-10.0,9,3,6
Fort Valley State,-1.1111111111111112,-10.0,9,4,5
Livingstone,-1.1111111111111112,-10.0,9,5,4
Howard,-1.1111111111111112,-10.0,9,4,5
Central Arkansas,-1.1111111111111112,-10.0,9,3,6
William Paterson,-1.125,-9.0,8,2,6
Kent State,-1.125,-9.0,8,3,5
Albion,-1.125,-9.0,8,2,6
Widener,-1.125,-9.0,8,3,5
Nichols College,-1.125,-9.0,8,2,6
Cornell College (IA),-1.125,-9.0,8,3,5
Air Force,-1.125,-9.0,8,2,6
North Park,-1.125,-9.0,8,3,5
Columbia,-1.1428571428571428,-8.0,7,1,6
Louisiana,-1.2222222222222223,-11.0,9,3,6
Texas A&M-Kingsville,-1.2222222222222223,-11.0,9,3,6
Purdue,-1.2222222222222223,-11.0,9,2,7
Southeast Missouri State,-1.2222222222222223,-11.0,9,3,6
Northern Colorado,-1.2222222222222223,-11.0,9,3,6
Towson,-1.2222222222222223,-11.0,9,4,5
Pomona Pitzer,-1.25,-10.0,8,3,5
Wisconsin-Lutheran,-1.25,-10.0,8,3,5
Tulsa,-1.25,-10.0,8,2,6
Husson,-1.25,-10.0,8,2,6
Concordia University Chicago,-1.25,-10.0,8,4,4
Loras College,-1.25,-10.0,8,2,6
Bridgewater (VA),-1.25,-10.0,8,2,6
Ball State,-1.25,-10.0,8,3,5
Mercyhurst,-1.3333333333333333,-12.0,9,3,6
Alabama A&M,-1.3333333333333333,-12.0,9,4,5
Eastern Washington,-1.3333333333333333,-12.0,9,4,5
Nicholls,-1.3333333333333333,-12.0,9,3,6
Missouri Western,-1.3333333333333333,-12.0,9,3,6
South Dakota Mines,-1.3333333333333333,-12.0,9,2,7
UT Martin,-1.3333333333333333,-12.0,9,4,5
Bates,-1.375,-11.0,8,2,6
New Mexico State,-1.375,-11.0,8,3,5
Colorado State,-1.375,-11.0,8,2,6
Olivet College,-1.375,-11.0,8,1,7
Missouri Southern State,-1.4444444444444444,-13.0,9,3,6
Catholic,-1.4444444444444444,-13.0,9,3,6
Tuskegee,-1.4444444444444444,-13.0,9,3,6
Allegheny,-1.4444444444444444,-13.0,9,3,6
Guilford College,-1.5,-12.0,8,2,6
Minnesota Morris,-1.5,-12.0,8,2,6
Martin Luther,-1.5,-12.0,8,4,4
Kean,-1.5,-12.0,8,2,6
Chowan,-1.5555555555555556,-14.0,9,3,6
Waynesburg,-1.5555555555555556,-14.0,9,3,6
Eastern New Mexico,-1.5555555555555556,-14.0,9,3,6
New Haven,-1.5555555555555556,-14.0,9,4,5
Western Connecticut St,-1.625,-13.0,8,4,4
St. Scholastica,-1.625,-13.0,8,3,5
Rose-Hulman,-1.625,-13.0,8,2,6
Elizabeth City State,-1.6666666666666667,-15.0,9,3,6
East Texas A&M,-1.6666666666666667,-15.0,9,2,7
Wofford,-1.6666666666666667,-15.0,9,3,6
Ohio Wesleyan,-1.75,-14.0,8,2,6
Capital,-1.75,-14.0,8,2,6
Arkansas-Pine Bluff,-1.75,-14.0,8,3,5
